Symbol,Current Assets,Date
AAPL,118674000000,2025-03-31
ABBV,27675000000,2025-03-31
ABT,23153000000,2025-03-31
ADBE,10855000000,2025-02-28
ADI,5733076000,2025-01-31
ADMA,351814000,2025-03-31
ADP,46536800000,2025-03-31
ADSK,3482000000,2025-01-31
AMAT,20694000000,2025-01-31
AMD,21595000000,2025-03-31
AMT,3506100000,2025-03-31
ANET,12276300000,2025-03-31
APD,5187600000,2025-03-31
ASML,27524400000,2025-03-31
AVGO,20990000000,2025-01-31
AXON,3776589000,2025-03-31
BIIB,7626000000,2025-03-31
BKNG,19950000000,2025-03-31
BSX,7335000000,2025-03-31
BYDDF,409994229000,2025-03-31
CARR,8444000000,2025-03-31
CAT,43019000000,2025-03-31
CCI,1085000000,2025-03-31
CCJ,1500125000,2025-03-31
CDNS,3998087000,2025-03-31
CEG,9631000000,2025-03-31
CL,5814000000,2025-03-31
CLSK,947493000,2025-03-31
COP,16906000000,2025-03-31
CPRT,4966783000,2025-01-31
CRM,29727000000,2025-01-31
CRWD,6113345000,2025-01-31
CSCO,34681000000,2025-01-31
CSX,3020000000,2025-03-31
CTAS,3341428000,2025-02-28
CVX,38574000000,2025-03-31
DASH,7853000000,2025-03-31
DDOG,5076338000,2025-03-31
DHI,34402600000,2025-03-31
DHR,9525000000,2025-03-31
DXCM,4553800000,2025-03-31
ECL,6081100000,2025-03-31
EL,7017000000,2025-03-31
EMR,8627000000,2025-03-31
EOG,10680000000,2025-03-31
EQIX,5505000000,2025-03-31
ETN,12434000000,2025-03-31
EW,6212700000,2025-03-31
FCX,13802000000,2025-03-31
FTNT,6442600000,2025-03-31
GEV,33936000000,2025-03-31
GOOG,162052000000,2025-03-31
HD,31683000000,2025-01-31
HUBS,2613873000,2025-03-31
IBM,35336000000,2025-03-31
IDXX,1317613000,2025-03-31
INTU,9135000000,2025-01-31
ISRG,7657800000,2025-03-31
ITW,6037000000,2025-03-31
JCI,11350000000,2025-03-31
JD,357230000000,2025-03-31
JNJ,71551000000,2025-03-31
KLAC,9945019000,2025-03-31
KO,26178000000,2025-03-31
LIN,13597000000,2025-03-31
LLY,41261200000,2025-03-31
LOW,20358000000,2025-01-31
LRCX,13460322000,2025-03-31
LULU,3980302000,2025-01-31
MCHP,2995800000,2024-12-31
MCK,55398000000,2025-03-31
MCO,4565000000,2025-03-31
MDLZ,12730000000,2025-03-31
MDT,22513000000,2025-01-31
MMM,15657000000,2025-03-31
MNST,4135419000,2025-03-31
MRK,35503000000,2025-03-31
MRVL,3120300000,2025-01-31
MSFT,156644000000,2025-03-31
MSI,5899000000,2025-03-31
MSTR,203612000,2025-03-31
MU,24689000000,2025-02-28
NEM,10740000000,2025-03-31
NET,2624291000,2025-03-31
NKE,24609000000,2025-02-28
NOW,9270000000,2025-03-31
NVDA,80126000000,2025-01-31
NVO,174395000000,2025-03-31
NXPI,8025000000,2025-03-31
OKTA,3365000000,2025-04-30
ORCL,30116000000,2025-02-28
ORLY,6029467000,2025-03-31
PANW,6899000000,2025-04-30
PAYX,8077000000,2025-02-28
PCAR,33303200000,2025-03-31
PEP,26288000000,2025-03-31
PG,24435000000,2025-03-31
PH,6777140000,2025-03-31
PLD,1216659000,2025-03-31
PSA,287177000,2025-03-31
PSX,18279000000,2025-03-31
QCOM,26080000000,2025-03-31
RACE,5294132000,2025-03-31
REGN,17571700000,2025-03-31
ROP,1704600000,2025-03-31
ROST,7538696000,2025-01-31
RSG,2321000000,2025-03-31
SHOP,7445000000,2025-03-31
SHW,6039700000,2025-03-31
SLB,18595000000,2025-03-31
SNPS,6323616000,2025-01-31
SPGI,5340000000,2025-03-31
SYK,13022000000,2025-03-31
TGTX,644510000,2025-03-31
TJX,12991000000,2025-01-31
TMO,23378000000,2025-03-31
TSLA,59389000000,2025-03-31
TSM,3088352100000,2024-12-31
TT,6934300000,2025-03-31
TTD,4856335000,2025-03-31
TXN,13086000000,2025-03-31
UBER,12350000000,2025-03-31
UNP,4539000000,2025-03-31
UPS,17090000000,2025-03-31
VIST,1015671000,2025-03-31
VRT,5461700000,2025-03-31
VRTX,10008800000,2025-03-31
WDAY,10545000000,2025-01-31
WELL,7193196000,2025-03-31
WM,4455000000,2025-03-31
XOM,91233000000,2025-03-31
ZTS,5877000000,2025-03-31
